# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Feb 12 06:00:32 2023
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN sy_mnum:        Number of Moons
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_locale:    Discovery Locale
# COLUMN disc_facility:  Discovery Facility
# COLUMN disc_telescope: Discovery Telescope
# COLUMN disc_instrument: Discovery Instrument
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN sy_dist:        Distance [pc]
#
loc_rowid,pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_locale,disc_facility,disc_telescope,disc_instrument,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,sy_dist
64,BD-06 1339 b,BD-06 1339,1,2,0,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,3.87280000,0.042800,2.850,8.50000,20.2695000
65,BD-06 1339 c,BD-06 1339,1,2,0,Radial Velocity,2013,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,125.94000000,0.435000,8.380,53.00000,20.2695000
66,BD-08 2823 b,BD-08 2823,1,2,0,Radial Velocity,2009,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,5.60000000,0.060000,3.610,12.71320,41.3342000
67,BD-08 2823 c,BD-08 2823,1,2,0,Radial Velocity,2009,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,237.60000000,0.680000,12.500,104.00000,41.3342000
68,BD-10 3166 b,BD-10 3166,1,1,0,Radial Velocity,2000,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,3.48777000,0.040000,14.100,187.51970,84.4069000
69,BD-11 4672 b,BD-11 4672,1,2,0,Radial Velocity,2014,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,1634.00000000,2.360000,14.100,206.58950,27.1665000
70,BD-11 4672 c,BD-11 4672,1,2,0,Radial Velocity,2020,Ground,Roque de los Muchachos Observatory,3.58 m Telescopio Nazionale Galileo,HARPS-N Spectrograph,74.20000000,0.300000,4.040,15.37000,27.1665000
71,BD-13 2130 b,BD-13 2130,1,1,0,Radial Velocity,2007,Ground,La Silla Observatory,1.2 m Leonhard Euler Telescope,CORALIE Spectrograph,714.29999000,1.660000,12.500,3108.37740,925.2140000
72,BD-17 63 b,BD-17 63,1,1,0,Radial Velocity,2008,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,655.60000000,1.340000,12.800,1620.90000,34.4603000
73,CD Cet b,CD Cet,1,1,0,Radial Velocity,2020,Ground,Calar Alto Observatory,3.5 m telescope,CARMENES,2.29070000,0.018500,1.820,3.95000,8.6071500
74,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,0,Imaging,2011,Ground,W. M. Keck Observatory,10 m Keck II Telescope,NIRC2 Camera,10037.50000000,2.600000,12.400,3337.10000,23.1000000
75,CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,0,Imaging,2021,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope,WFC3 Camera,8040000.00000000,200.000000,20.849,2479.06157,
76,CHXR 73 b,CHXR 73,1,1,0,Imaging,2006,Space,Hubble Space Telescope,2.4 m Hubble Space Telescope,ACS Camera,,210.000000,12.300,3994.48600,190.3740000
77,CI Tau b,CI Tau,1,1,0,Radial Velocity,2019,Ground,Multiple Observatories,Multiple Telescopes,IGRINS Spectrometer,8.98910000,,12.400,3686.82800,157.9980000
78,COCONUTS-2 b,COCONUTS-2 A,1,1,0,Imaging,2021,Ground,NASA Infrared Telescope Facility (IRTF),3.2 m telescope,SpeX,402000000.00000000,7506.000000,12.442,2002.31896,10.8864000
79,CT Cha b,CT Cha,1,1,0,Imaging,2007,Ground,Paranal Observatory,8.2 m ESO VLT UT4 Yepun Telescope,NACO Camera,,440.000000,24.660,5403.00000,190.7200000
80,CoRoT-1 b,CoRoT-1,1,1,0,Transit,2008,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,1.50895570,0.027520,16.700,327.35000,787.9090000
81,CoRoT-10 b,CoRoT-10,1,1,0,Transit,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,13.24060000,0.105500,10.870,874.00000,338.3860000
82,CoRoT-11 b,CoRoT-11,1,1,0,Transit,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,2.99433000,0.043600,16.030,740.51000,655.0370000
83,CoRoT-12 b,CoRoT-12,1,1,0,Transit,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,2.82804200,0.040160,16.140,291.43800,1126.3700000
84,CoRoT-13 b,CoRoT-13,1,1,0,Transit,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,4.03519000,0.051000,9.920,415.70400,1148.9300000
85,CoRoT-14 b,CoRoT-14,1,1,0,Transit,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,1.51214000,0.027000,12.220,2415.40000,1744.6000000
86,CoRoT-16 b,CoRoT-16,1,1,0,Transit,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,5.35227000,0.061800,13.110,170.03200,732.4090000
87,CoRoT-17 b,CoRoT-17,1,1,0,Transit,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3.76810000,0.046100,11.430,772.29000,1176.1200000
88,CoRoT-18 b,CoRoT-18,1,1,0,Transit,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,1.90006930,0.029500,14.680,1102.82000,764.8890000
89,CoRoT-19 b,CoRoT-19,1,1,0,Transit,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3.89713000,0.051800,14.460,352.78000,790.6630000
90,CoRoT-2 b,CoRoT-2,2,1,0,Transit,2008,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,1.74299350,0.027980,16.432,1102.82000,213.2830000
91,CoRoT-20 b,CoRoT-20,1,2,0,Transit,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,9.24285000,0.090000,9.416,1366.66900,844.0610000
92,CoRoT-20 c,CoRoT-20,1,2,0,Radial Velocity,2018,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,1675.00000000,2.900000,12.200,5403.11000,844.0610000
93,CoRoT-21 b,CoRoT-21,1,1,0,Transit,2012,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,2.72474000,0.041700,14.572,718.29580,1398.8341969
94,CoRoT-22 b,CoRoT-22,1,1,0,Transit,2014,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,9.75598000,0.092000,4.880,12.20000,627.1580000
95,CoRoT-23 b,CoRoT-23,1,1,0,Transit,2011,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3.63130000,0.048000,11.770,889.90000,1060.9700000
96,CoRoT-24 b,CoRoT-24,1,2,0,Transit,2014,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,5.11340000,0.056000,3.700,5.70000,591.5550000
97,CoRoT-24 c,CoRoT-24,1,2,0,Transit,2014,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,11.75900000,0.098000,5.000,28.00000,591.5550000
98,CoRoT-25 b,CoRoT-25,1,1,0,Transit,2013,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,4.86069000,0.057800,12.110,85.81000,1103.4800000
99,CoRoT-26 b,CoRoT-26,1,1,0,Transit,2013,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,4.20474000,0.052600,14.120,165.26000,1045.1800000
100,CoRoT-27 b,CoRoT-27,1,1,0,Transit,2014,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3.57532000,0.047600,11.287,3302.11000,1010.2800000
101,CoRoT-28 b,CoRoT-28,1,1,0,Transit,2015,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,5.20851000,0.060300,10.705,153.82972,766.1830000
102,CoRoT-29 b,CoRoT-29,1,1,0,Transit,2015,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,2.85057000,0.038600,10.088,270.15550,806.5070000
103,CoRoT-3 b,CoRoT-3,1,1,0,Transit,2008,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,4.25680000,0.057830,11.320,6883.91000,768.7710000
104,CoRoT-30 b,CoRoT-30,1,1,0,Transit,2020,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,9.06005000,0.084400,11.310,921.70700,1032.2300000
105,CoRoT-31 b,CoRoT-31,1,1,0,Transit,2020,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,4.62941000,0.058600,16.365,266.97720,2005.7600000
106,CoRoT-35 b,CoRoT-35,1,1,0,Transit,2022,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3.22748000,0.042900,18.831,349.61125,1123.2100000
107,CoRoT-36 b,CoRoT-36,1,1,0,Transit,2022,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,5.61653100,0.066000,15.805,216.12332,925.9580000
108,CoRoT-4 b,CoRoT-4,1,1,0,Transit,2008,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,9.20205000,0.090000,13.340,228.83000,726.4120000
109,CoRoT-5 b,CoRoT-5,1,1,0,Transit,2009,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,4.03789620,0.049470,15.558,148.42000,882.4720000
110,CoRoT-6 b,CoRoT-6,1,1,0,Transit,2009,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,8.88659300,0.085500,13.068,940.74000,645.2940000
111,CoRoT-7 b,CoRoT-7,1,3,0,Transit,2009,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,0.85359163,0.017016,1.681,4.07661,159.9060000
112,CoRoT-7 c,CoRoT-7,1,3,0,Radial Velocity,2009,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,3.69800000,0.046000,2.830,8.40000,159.9060000
113,CoRoT-7 d,CoRoT-7,1,3,0,Radial Velocity,2022,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,8.96600000,,4.310,17.14200,159.9060000
114,CoRoT-8 b,CoRoT-8,1,1,0,Transit,2010,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,6.21229000,0.063000,6.390,69.92000,322.0370000
115,CoRoT-9 b,CoRoT-9,2,1,0,Transit,2009,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,95.27265600,0.402100,11.949,266.97720,412.9800000
116,CoRoTID 223977153 b,CoRoTID 223977153,1,1,0,Transit,2017,Space,CoRoT,0.27 m CoRoT Telescope,CoRoT CCD Array,6.71837000,0.071000,6.389,47.67450,576.6830000
117,DE CVn b,DE CVn,2,1,0,Eclipse Timing Variations,2018,Ground,Multiple Facilities,Multiple Telescopes,Multiple Instruments,4098.10000000,5.750000,12.400,3823.27330,30.5225000
118,DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,0,Astrometry,2013,Ground,Paranal Observatory,8.2 m ESO VLT UT1 Antu Telescope,FORS2 Spectrograph,246.36000000,0.360000,11.900,9057.77000,20.7700000
119,DH Tau b,DH Tau,1,1,0,Imaging,2004,Ground,Subaru Telescope,8.2 m Subaru Telescope,CIAO Camera,,330.000000,30.264,3496.00000,134.8460000
120,DMPP-1 b,DMPP-1,1,4,0,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,18.57000000,0.146200,5.290,24.27000,62.5388000
121,DMPP-1 c,DMPP-1,1,4,0,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,6.58400000,0.073300,3.060,9.60000,62.5388000
122,DMPP-1 d,DMPP-1,1,4,0,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,2.88200000,0.042200,1.650,3.35000,62.5388000
123,DMPP-1 e,DMPP-1,1,4,0,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,5.51600000,0.065100,1.860,4.13000,62.5388000
124,DMPP-2 b,DMPP-2,1,1,0,Radial Velocity,2019,Ground,Multiple Facilities,Multiple Telescopes,Multiple Instruments,5.20720000,0.066400,14.300,138.89171,137.9400000
125,DMPP-3 A b,DMPP-3 A,2,1,0,Radial Velocity,2019,Ground,La Silla Observatory,3.6 m ESO Telescope,HARPS Spectrograph,6.67320000,0.066200,1.410,2.58000,45.2300000
126,DP Leo b,DP Leo,2,1,0,Eclipse Timing Variations,2009,Ground,Yunnan Astronomical Observatory,2.4 m Lijiang Station Telescope,6K CCD Mosaic,10220.00000000,8.190000,12.700,1995.88832,305.6840000
127,DS Tuc A b,DS Tuc A,2,1,0,Transit,2019,Space,Transiting Exoplanet Survey Satellite (TESS),0.1 m TESS Telescope,TESS CCD Array,8.13826800,,5.700,413.17900,44.0622000
128,EPIC 201170410.02,EPIC 201170410,1,1,0,Transit,2020,Space,K2,0.95 m Kepler Telescope,Kepler CCD Array,6.79870000,0.034900,1.047,1.15000,134.0000000
